project_id,date,forks,committer_id,commits,commit_comment,req_opened,req_closed,req_merged,other,issue,issue_comment,watchers
419852,2012-06-19,0,"{96668: 2, 547680: 3, 272796: 1}",6,0,1,1,1,0,1,0,0
419852,2012-06-20,0,"{547680: 1, 96668: 1}",2,0,0,0,0,0,0,0,0
419852,2012-06-21,0,{547680: 5},5,0,1,1,1,0,1,0,3
419852,2012-06-22,0,"{96668: 8, 547680: 1}",9,0,2,2,2,0,2,0,0
419852,2012-06-23,0,{},0,0,0,0,0,0,0,0,0
419852,2012-06-24,0,"{547680: 15, 96668: 1}",16,0,2,2,0,0,3,2,0
419852,2012-06-25,0,{},0,0,0,0,0,0,0,0,0
419852,2012-06-26,0,{},0,0,0,0,0,0,0,0,0
419852,2012-06-27,0,"{547680: 1, 272796: 3, 96668: 1}",5,0,1,1,1,0,2,0,0
419852,2012-06-28,0,{},0,0,0,0,0,0,0,0,0
419852,2012-06-29,0,{},0,0,0,0,0,0,0,0,0
419852,2012-06-30,0,{},0,0,0,0,0,0,0,0,0
419852,2012-07-01,0,{},0,0,0,0,0,0,0,0,0
419852,2012-07-02,0,{272796: 8},8,0,0,0,0,0,0,0,0
419852,2012-07-03,0,{},0,0,0,0,0,0,0,0,0
419852,2012-07-04,0,{96668: 2},2,0,2,2,2,0,2,0,0
